empire/dynasty,established,disestablished,capital(s),language(s),present part of
,,,,,
"Brihadratha dynasty,
","1700 BCE
","682 BCE
","Girivraja,
","Vedic Sanskrit,
"," ,India,
"
"Gopala Dynasty,
","1400 BCE
","841 BCE
","Pashupatinath Temple,, ,Gaushala,, ,Kathmandu,
","Sanskrit,
","   ,Nepal,
"
"Pundravardhana Kingdom,
","1280 BCE
","345 BCE
","Mahasthangarh,
","Pali,, ,Sanskrit,
"," ,Bangladesh, ,India,
"
"Kuru Kingdom,
","1200 BCE
","345 BCE
","Āsandīvat,, ,Hastinapura,, ,Indraprastha,
","Sanskrit,
"," ,India,
"
"Anga Kingdom,
","1100 BCE
","525 BCE
","Champa,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Vidarbha Kingdom,
","1100 BCE
","500 BCE
","Kaundinyapur,
","Sanskrit,
"," ,India,
"
"Khasa Kingdom,
","1100 BCE
","500 BCE
","Kedarnath, ('Kedare-Khasa-Mandale')
","Sanskrit,, ,Prakrit,, ,Khas language,
","   ,Nepal, ,India,
"
"Panchala Kingdom,
","1100 BCE
","350 CE
","Ahichatra,, ,Kampila,
","Sanskrit,
"," ,India,   ,Nepal,
"
"Mahisapala dynasty,
","841 BCE
","679 BCE
","Kathmandu,
","Sanskrit,
","   ,Nepal, ,India,
"
"Gandhara Kingdom,
","800 BCE
","535 BCE
","Puṣkalavati,, ,Taxila,, ,Purushapura,
","Sanskrit,
"," ,Afghanistan, ,Pakistan,
"
"Kirata Kingdom,
","700 BCE
","300 CE
","Yalung,, ,Thankot,
","Kiranti languages,, ,Sanskrit,, ,Pali, ,Prakrit,
","   ,Nepal, ,Tibet, ,Bhutan, ,China, ,Pakistan,
"
"Kingdom of Kosala,
","700 BCE
","345 BCE
","Shravasti,, ,Ayodhya,
","Sanskrit,
"," ,India,   ,Nepal,
"
"Vajjika League,
","c. 6th century BCE
","c. 468 BCE
","Vaishali,
","Sanskrit,
"," ,India,   ,Nepal,
"
"Malla,
","c., 4th century, BCE
","c., 7th century,
","Kusinārā,, ,Pāvā,
","Prakrit,
"," ,India,   ,Nepal,
"
"Matsya Kingdom,
","700 BCE
","345 BCE
","ViratNagar,
","Sanskrit,
"," ,India,
"
"Surasena Kingdom,
","700 BCE
","345 BCE
","Mathura,
","Sanskrit,
"," ,India,
"
"Avanti Kingdom,
","700 BCE
","300 BCE
","Ujjayini,
","Sanskrit,
"," ,India,
"
"Asmaka Kingdom,
","700 BCE
","300 BCE
","Potali,
","Sanskrit,
"," ,India,
"
"Kingdom of Vatsa,
","700 BCE
","345 BCE
","Kauśāmbī,
","Sanskrit,
"," ,India,
"
"Shakya,
","700 BCE
","345 BCE
","Kapilavastu, ,Tilaurakot,, ,Nepal,
","Sanskrit,, ,Pali,
","   ,Nepal, ,India,
"
"Kingdom of Kashi,
","700 BCE
","345 BCE
","Banaras,
","Sanskrit,
"," ,India,
"
"Chedi Kingdom,
","700 BCE
","345 BCE
","Suktimati,
","Sanskrit,
"," ,India,
"
"Heheya Kingdom,
","
","
","Mahishmati,
","Sanskrit,
"," ,India,
"
"Pradyota dynasty,
","682 BCE
","544 BCE
","Rajagriha,
","Prakrit,, ,Sanskrit,
"," ,India,   ,Nepal,
"
"Haryanka Dynasty,
","554 BCE
","413 BCE
","Rajagriha,, ,Pataliputra,
","Prakrit,, ,Sanskrit,
"," ,India,   ,Nepal,
"
"Ror dynasty,
","450 BCE
","489 CE
","Rori,
","Sanskrit,
"," ,Pakistan,
"
"Shishunaga Empire,
","413 BCE
","345 BCE
","Rajgir,, ,Vaishali,, ,Pataliputra,
","Prakrit,, ,Sanskrit,
"," ,India,   ,Nepal,
"
"Paurava dynasty,[1],
","400 BCE
","301 BCE
","Punjab,
","Sanskrit,
"," ,India, ,Pakistan,
"
"Malava Empire,
","350 BCE
","650 CE
","Vidisha,
","Sanskrit,
"," ,India,
"
"Nanda Empire,
","345 BCE
","322 BCE
","Pataliputra,
","Magadhi Prakrit,, ,Sanskrit,
"," ,India, ,Bangladesh,   ,Nepal, ,Pakistan,
"
"Mauryan Empire,
","322 BCE
","184 BCE
","Pataliputra,
","Magadhi Prakrit,, ,Sanskrit,
"," ,India,
,
, ,Myanmar,
, ,Afghanistan,
, ,Bangladesh,
, ,Iran,
, ,Tajikistan,
,
,   ,Nepal,
, ,Bhutan,
, ,Pakistan,
,
,
"
"Chera Dynasty,
","300 BCE
","1102 CE
","Karur,, ,Kodungallur,, ,Kollam,
","Tamil,
"," ,India,
"
"Chola Empire,
","300 BCE
","1279 CE
","Thanjavur,, ,Gangaikonda Cholapuram,, ,Pazhaiyaarai,
","Tamil,
"," ,India, ,Sri Lanka,
"
"Pandyan Empire,
","300 BCE
","1345 CE
","Korkai,, ,Madurai,, ,Tirunelveli,, ,Vizhinjam,
","Tamil,
"," ,India, ,Sri Lanka,
"
"Gangaridai Kingdom,
","300 BCE
","200 CE
","-
","-
"," ,Bangladesh, ,Bhutan, ,India,
"
"Mahameghavahana dynasty,
","225 BCE
","300 CE
","Kalinga,
","Sanskrit,
"," ,India,
"
"Kuninda Kingdom,
","2nd century BCE
","3rd century CE
","southern areas of modern ,Himachal Pradesh,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Shunga Empire,
","185 BCE
","75 BCE
","Pataliputra,, ,Vidisha,
","Prakrit,, ,Sanskrit,
"," ,India, ,Bangladesh,   ,Nepal, ,Bhutan,
"
"Kingdom of Samatata,
","180 BCE
","335
","-
","-
"," ,Bangladesh, ,India,
"
"Deva Dynasty of Saketa,
","150 BCE
","10 BCE
","Ayodhya,
","Sanskrit,
"," ,India,
"
"Satavahana Empire,
","100 BCE
","225 CE
","Pratishthana,, ,Amaravati,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Kanva Dynasty,
","75 BCE
","30 BCE
","Pataliputra, or ,Vidisha,
","Sanskrit,
"," ,India,
"
"Northern Satrap Dynasty,
","60 BCE
","150 CE
","Sagala,, ,Mathura,
","Prakrit,, ,Sanskrit,
"," ,India, ,Pakistan,
"
"Chutu dynasty,
","30 BCE
","280 CE
","Banavasi,
","Prakrit,
"," ,India,
"
"Suren Kingdom,
","19 CE
","225 CE
","Taxila,, ,Kabul,
","Pali,, ,Parthian,, ,Sanskrit,, ,Greek,
"," ,Afghanistan, ,Pakistan,
, ,India,
,
"
"Kshaharata Empire,
","35 CE
","405 CE
","Ujjain,, ,Barygaza,
","Pali,, ,Prakrit,, ,Sanskrit,
"," ,India, ,Pakistan,
"
"Funan Empire,
","50 CE
","550 CE
","Vyadhapura,
","Khmer,, ,Sanskrit,
"," ,Laos, ,Cambodia, ,Thailand, ,Vietnam, ,Myanmar,
"
"Nagvanshi Dynasty,
","94 CE
","1952 CE
","Khukhragarh,, ,Navratangarh,
","Prakrit,, ,Nagpuri,
"," ,India,
"
"Parataraja Kingdom,
","125 CE
","300 CE
","Balochistan,
","Pali,, ,Prakrit,, ,Sanskrit,, ,Scythian,
"," ,Pakistan, ,Afghanistan,
"
"Salakanagara Kingdom,
","130 CE
","362 CE
","-
","Sanskrit,
"," ,Indonesia,
"
"Langkasuka Kingdom,
","150 CE
","1475 CE
","-
","Malay,
"," ,Malaysia, ,Thailand,
"
"Kingdom of Gangga Negara,
","150 CE
","1025 CE
","Beruas,
","Malay,
"," ,Malaysia,
"
"Kingdom of Champa,
","192 CE
","1832 CE
","Indrapura,, ,Vijaya,, ,Panduranga,
","Chamic languages,, ,Sanskrit,
"," ,Vietnam, ,Laos, ,Cambodia,
"
"Andhra Ikshvaku Dynasty,
","200 CE
","275 CE
","-
","Prakrit,, ,Sanskrit,, ,Tamil,
"," ,India,
"
"Abhira dynasty,
","203 CE
","370 CE
","Anjaneri,, ,Thalner,, ,Prakashe,, ,Bhamer,, ,Asirgarh,
","Ahirani,,
,Apabhraṃśa,
,Sanskrit,
,
"," ,India,
"
"Bharashiva Dynasty,
","205 CE
","335 CE
","Padmavati,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Soma Dynasty,
","205 CE
","305 CE
","Kathmandu,
","Sanskrit,
","   ,Nepal,
"
"Gupta Empire,
","240 CE
","550 CE
","Pataliputra,
","Prakrit,, ,Sanskrit,
"," ,India, ,Bangladesh, ,Pakistan,   ,Nepal, ,Afghanistan,
"
"Kalabhra Empire,
","250 CE
","600 CE
","Kaveripumpattinam,, ,Madurai,
","Prakrit,,
,Tamil,, ,Sanskrit,
,
"," ,India,
"
"Paurava Dynasty (reinstated),[2],
","c., 4th century CE,
","c., 7th century CE,
","Brahmapur,
","Sanskrit,
"," ,India,
"
"Pallava Empire,
","275 CE
","897 CE
","Kanchipuram,
","Tamil,, ,Prakrit,, ,Sanskrit,
"," ,India,
"
"Licchavi dynasty,
","305 CE
","1200 CE
","Kathmandu,
","Bajjika,, ,Sanskrit,
","   ,Nepal, ,India, ,Bhutan,
"
"Kataha,
","330 CE
","1136 CE
","Kataha,
","Old Malay,, ,Sanskrit,
"," ,Malaysia,
"
"Kadamba Empire,
","345 CE
","525 CE
","Banavasi,
","Kannada,, ,Sanskrit,
"," ,India,
"
"Aulikara Dynasty,
","350 CE
","550 CE
","Mandsaur,
","Sanskrit,
"," ,India,
"
"Western Ganga Dynasty,
","350 CE
","575 CE
","Talakadu,, ,Kolar,
","Kannada,, ,Sanskrit,
"," ,India,
"
"Kamarupa Kingdom,
","350 CE
","1140 CE
","Pragjyotishpura,, ,Haruppeswara,, ,Durjaya,
","Assamese,, Prakrit, ,Sanskrit,
"," ,India, ,Bhutan, ,Bangladesh, ,Myanmar,
"
"Tarumanagara Kingdom,
","358 CE
","669 CE
","Sundapura
","Sundanese,, ,Sanskrit,
"," ,Indonesia,
"
"Kutai Martadipura,
","399 CE
","1635 CE
","Muara Kaman
","Sanskrit,, probably old version of ,Kutainese language,
"," ,Indonesia,
"
"Vishnukundina Dynasty,
","420 CE
","624 CE
","Nalgonda, ,Eluru,, ,Amaravati,
","Sanskrit,, ,Prakrit,
"," ,India,
"
"Sharabhapuriya Dynasty,
","465 CE
","590 CE
","Sharabhapura
","Sanskrit,
"," ,India,
"
"Maitraka Dynasty,
","475 CE
","776 CE
","Vallabhi,
","Apabhramsa, ,Prakrit,, ,Sanskrit,, ,Sauraseni,
"," ,India,
"
"Pushyabhuti Dynasty,
","500
","647
","Sthanvishvara,, ,Kanyakubja,
","Sanskrit,
"," ,India, ,Bangladesh,   ,Nepal, ,Bhutan, ,Pakistan,
"
"Nala Kingdom,
","515
","585
","Pushkari,
","Sanskrit,
"," ,India,
"
"Rai Dynasty,
","524
","632
","Aror,
","Sanskrit,
"," ,Pakistan,
"
"Chalukya Dynasty,
","543
","753
","Badami,
","Kannada,, ,Sanskrit,
"," ,India,
"
"Kalachuri Dynasty,
","550
","620
","Mahishmati,
","Sanskrit,
"," ,India,
"
"Chenla Empire,
","550
","802
","Shrestapura,, ,Bhavapura,, ,Isanapura,, ,Shambhupura,
","Khmer,, ,Sanskrit,
"," ,Cambodia, ,Thailand, ,Laos, ,Vietnam,
"
"Chahamana Dynasty,
","550
","1194
","Shakambhari,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Maukhari Dynasty,
","550
","800
","Kannauj,
","Sanskrit,
"," ,India,
"
"Kalingga Kingdom,
","550
","650
","-
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Gauda Kingdom,
","590
","626
","Karnasuvarna,
","-
"," ,India, ,Bangladesh,
"
"Panduvamshi Dynasty,
","600
","790
","Shripura,
","Sanskrit,
"," ,India,
"
"Eastern Chalukya Empire,
","624
","1189
","Vengi,, ,Rajahmundry,
","Sanskrit,, ,Telugu,
"," ,India,
"
"Karkota Empire,
","625
","885
","Srinagar,, ,Parihaspore,
","Sanskrit,
"," ,India, ,Pakistan, ,Afghanistan, ,Bangladesh,
"
"Brahman Dynasty of Sindh,
","632
","724
","-
","Sanskrit,
"," ,India,
, ,Pakistan,
,
"
"Srivijaya Empire,
","650
","1377
","Palembang,, ,Chaiya,, ,Jambi,
","Old Malay,, ,Sanskrit,
"," ,Indonesia, ,Malaysia, ,Singapore, ,Thailand, ,Cambodia, ,Philippines, ,Vietnam, ,Brunei, ,Taiwan,
"
"Shailendra Dynasty,
","650
","1025
","Kedu Plain,
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Galuh Kingdom,
","669
","1482
","Kawali,
","Sundanese,, ,Sanskrit,
"," ,Indonesia,
"
"Sunda Kingdom,
","669
","1579
","Kawali,, ,Pakuan Pajajaran,
","Sundanese,, ,Sanskrit,
"," ,Indonesia,
"
"Kalachuri Tripuri Dynasty,
","675
","1212
","Tripuri,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Garhwal Kingdom,
","688 CE
","1949 CE
","Srinagar, Uttarakhand,Tehri,Narendranagar,
","Garhwali,, ,Jaunsari,, ,Sanskrit,
"," ,India,
"
"Chavda Dynasty,
","690
","942
","Panchasar,, ,Aṇahilaváḍa,
","Prakrit,
"," ,India,
"
"Mallabhum Kingdom,
","694
","1800
","Laugram,, ,Pradyumnapur,, ,Bishnupur,
","Sanskrit,, ,Prakrit,
"," ,India, ,Bangladesh,
"
"Katyuri kings, (Karttikeyapur)
","700 CE
","1065 CE
","Joshimath, later shifted to ,Baijnath, Uttarakhand,
","Khas,, ,Sanskrit,, ,Prakrit,
"," ,India,   ,Nepal,
"
"Chand kings,
","700 CE
","1790 CE
","Champawat,
","Kumaoni,, ,Dotyali,, ,Nepali,
"," ,India,   ,Nepal, ,Tibet,
"
"Limbuwan,
","7th Century CE
","1774
","Morang,, ,Bijaypur,
","Limbu,, ,Lepcha,
","   ,Nepal, ,India, ,Bhutan,
"
"Gurjara-Pratihara Dynasty,
","730
","1036
","Kannauj,
","Prakrit,, ,Sanskrit,
"," ,India, ,Afghanistan, ,Pakistan,
"
"Mataram Kingdom,
","732
","1006
","Mamratipura
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Saindhava Dynasty,
","735
","920
","Bhutamabilika,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Tomara Dynasty,
","736
","1151
","Delhi,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Pala Empire,
","750
","1199
","Bikrampur,, ,Pataliputra,, ,Gauda,, ,Monghyr,, ,Somapura,, ,Mahipal,, ,Ramavati,
","Prakrit,, ,Sanskrit,
"," ,Bangladesh, ,India,   ,Nepal, ,Pakistan,
"
"Haripunjaya Kingdom,
","750
","1292
","Lamphun,
","Thai,
"," ,Thailand,
"
"Rashtrakuta Empire,
","753
","982
","Manyakheta,
","Kannada,, ,Sanskrit,
"," ,India,
"
"Khmer Empire,
","802
","1431
","Mahendraparvata,, ,Hariharalaya,, ,Koh Ker,, ,Yasodharapura,
","Khmer,, ,Sanskrit,
"," ,Cambodia, ,Laos, ,Myanmar, ,Thailand, ,Vietnam,
"
"Chudasama Dynasty,
","825
","1472
","Vamanasthali,, ,Junagadh,
","Old Gujarati,, ,Prakrit,
"," ,India,
"
"Later Chola Empire,
","848
","1279
","Pazhaiyaarai,, ,Thanjavur,, ,Gangaikonda Cholapuram,
","Tamil,, ,Sanskrit,
"," ,India, ,Bangladesh, ,Sri Lanka, ,Maldives, ,Indonesia, ,Singapore, ,Malaysia, ,Thailand, ,Myanmar,
"
"Somavamshi Dynasty,
","850
","1150
","Yayatinagara,
","Sanskrit,
"," ,India,
"
"Yadava Dynasty,
","850
","1334
","Devagiri
","Kannada,, ,Marathi,, ,Sanskrit,
"," ,India,
"
"Utpala Dynasty,
","855
","1003
","Avantipur,
","Sanskrit,
"," ,India, ,Afghanistan, ,Pakistan,
"
"Hindu Shahi Dynasty,
","879
","1026
","Kabul,
","Sanskrit,
"," ,Pakistan, ,Afghanistan, ,India,
"
"Paramara Dynasty,
","900
","1305
","Dhar,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Bali Kingdom,
","914
","1908
","Bedulu,, ,Samprangan,, ,Gelgel,, ,Klungkung,
","Kawi,, ,Balinese,
"," ,Indonesia,
"
"Pagan Empire,
","940
","1297
","Pagan,
","Burmese,, ,Mon,, ,Pyu,
"," ,Myanmar,
"
"Khasa Malla kingdom,
","954
","1450
","Sinja Valley,, ,Nepal,
","Khas,, ,Sanskrit,, ,Dotyali,
","   ,Nepal, ,India, ,Tibet,
"
"Western Chalukya Empire,
","973
","1189
","Manyakheta,, ,Basavakalyan,
","Kannada,, ,Sanskrit,
"," ,India,
"
"Rajahnate of Butuan,
","1001
","1756
","Butuan,
","Butuanon,, ,Old Malay,
"," ,Philippines,
"
"Lohara Dynasty,
","1003
","1320
","Srinagar,
","Sanskrit,
"," ,India, ,Afghanistan, ,Pakistan,
"
"Rajanate of Sanmalan,
","1011
","1405
","Zamboanga City,
","Sanskrit,, ,Tamil,
"," ,Philippines,
"
"Kingdom of Polonnaruwa,
","1017
","1310
","Polonnaruwa,
","Pali,, ,Sanskrit,
"," ,India,
"
"Kahuripan Kingdom,
","1019
","1045
","Kahuripan,
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Hoysala Empire,
","1026
","1343
","Halebidu,, ,Belur,
","Kannada,, ,Sanskrit,
"," ,India,
"
"Janggala Kingdom,
","1045
","1136
","Hujung Galuh
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Kediri Kingdom,
","1045
","1221
","Kadiri,
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Sena Dynasty,
","1070
","1230
","Nabadwip,
","Sanskrit,
"," ,Bangladesh, ,India,
"
"Eastern Ganga Empire,
","1078
","1434
","Dantapura,, ,Kalinganagara,, ,Kataka,
","Sanskrit,
"," ,India,
"
"Gahadavala Dynasty,
","1080
","1194
","Varanasi,, ,Kanyakubja,
","Sanskrit,
"," ,India,
"
"Dimasa Kingdom,
","1087
","1832
","Dimapur,, ,Maibang,, Khaspur
","Dimasa,
"," ,India,
"
"Karnat Dynasty,
","1097
","1324
","Simraungadh,
","Maithili,, ,Sanskrit,
","   ,Nepal, ,India,
"
"Chero dynasty,
","12th CE
","18th CE
","
","Bhojpuri,, ,Nagpuri,
"," ,India,
"
"Sambhuvaraya Dynasty,
","1150
","1375
","Rajagambhiram,, ,Padaveedu,
","Sanskrit,, ,Tamil,
"," ,India,
"
"Vanni Nadu Dynasty,
","1150
","1803
","Vanni,
","Tamil,, ,Sanskrit,
"," ,Sri Lanka,
"
"Deva Dynasty,
","1156
","1250
","Bikrampur,
","Bengali,, ,Sanskrit,
"," ,Bangladesh, ,India,
"
"Kakatiya Dynasty,
","1163
","1323
","Orugallu,
","Sanskrit,, ,Telugu,
"," ,India,
"
"Khen Dynasty,
","1185
","1498
","Kamarupanagara,, ,Kamatapura,
","Assamese,, ,Kamtapuri,
"," ,India, ,Myanmar,
"
"Sutiya Kingdom,
","1187
","1673
","Swarnagiri,, ,Ratnapur,, ,Sadiya,
","Assamese,, ,Sanskrit,
"," ,India,
"
"Malla Dynasty,
","1200
","1768
","Bhaktapur,, ,Kathmandu,, ,Patan, Nepal,
","Newari,,
,Nepali,, ,Sanskrit,, ,Maithili,
,
","   ,Nepal,
"
"Doti Rainka kingdom,
","13th century
","1790
","Dipayal Silgadhi,, ,Nepal,
","Dotyali,, ,Khas,, ,Sanskrit,, ,Kumaoni,
","   ,Nepal, ,India, ,Tibet,
"
"Jaffna Kingdom,
","1215
","1624
","Nallur,
","Tamil,, ,Sanskrit,
"," ,Sri Lanka,
"
"Singhasari Kingdom,
","1222
","1292
","Tumapel,
","Old Javanese,, ,Sanskrit,
"," ,Indonesia,
"
"Ahom Kingdom,
","1228
","1826
","Charaideo,, ,Garhgaon,, ,Rangpur,, ,Jorhat,
","Assamese,, ,Tai-Ahom,
"," ,India, ,Myanmar,
"
"Sambhuvaraya Dynasty,
","1236
","1375
","Rajagambhiram,, ,Padaveedu,
","Tamil,, ,Sanskrit,
"," ,India,
"
"Yajvapala Dynasty,
","1237
","1289
","Nalapura,
","-
"," ,India,
"
"Vaghela Dynasty,
","1244
","1304
","Dholka,
","Apabhramsa,, ,Old Gujarati,, ,Prakrit,
"," ,India,
"
"Rajahnate of Cebu,
","1250
","1565
","Singhapala,
","Cebuano,, ,Old Malay,, ,Middle Tamil,
"," ,Philippines,
"
"Majapahit Empire,
","1293
","1527
","Majapahit,, ,Wilwatikta,
","Old Javanese,, ,Sanskrit,
"," ,Indonesia, ,Malaysia, ,Singapore, ,Brunei, ,Thailand, ,Timor Leste, ,Philippines, ,Australia,
"
"Sena Dynasty (Nepal),
","13th Century CE
","18th Century CE
","Makwanpurgadhi,, ,Chaudandi,, ,Palpa,
","Nepali,, ,Maithili Language,, ,Khas,, ,Bengali,, ,Sanskrit,
","   ,Nepal, ,India,
"
"Reddy Dynasty,
","1325
","1448
","Addanki,, ,Kondavidu,, ,Rajahmundry,
","Telugu,, ,Sanskrit,
"," ,India,
"
"Musunuri Nayakas,
","1150
","1369
","Warangal,
","Telugu,, ,Sanskrit,
"," ,India,
"
"Vijayanagara Empire,
","1336
","1646
","Vijayanagara,, ,Penukonda,, ,Chandragiri,
","Kannada,, ,Sanskrit,, ,Telugu,
"," ,India,
"
"Oiniwar Dynasty,
","1353
","1526
","Madhubani,
","Maithili language,
"," ,India,
"
"Kallala dynasty,
","1404
","1789
","Sinja Valley,
","Khas language,, ,Nepali,, ,Sanskrit,
","   ,Nepal, ,India,
"
"Gajapati Kingdom,
","1434
","1541
","Cuttack,
","Odia,
"," ,India,
"
"Bhoi dynasty,
","1541
","1947
","Cuttack,, ,Puri,, ,Khurda,
","Odia,
"," ,India,
"
"Koch Dynasty,
","1515
","1949
","Chikana,, ,Kamatapur,
","Kamtapuri,, ,Assamese,, ,Bengali,, ,Sanskrit,
"," ,India,
"
"Madurai Nayak Dynasty,
","1529
","1736
","Madurai,, ,Tiruchirapalli,
","Telugu,, ,Tamil,, ,Sanskrit,
"," ,India,
"
"Thanjavur Nayak Kingdom,
","1532
","1673
","Thanjavur,
"," Telugu,,,Tamil,, ,Sanskrit,
"," ,India,
"
"Gorkha Kingdom,
","1559
","1768
","Gorkha Darbar,
","Nepali,
","   ,Nepal,
"
"Raj Darbhanga,
","1577
","1947
","Darbhanga,
","Maithili,
"," ,India,
"
"Maratha Empire,
","1674
","1818
","Raigad,, ,Gingee,, ,Satara,, ,Pune,
","Marathi,, ,Sanskrit,
"," ,India, ,Pakistan,
"
"Pudukkottai Kingdom,
","1680
","1800
","Pudukkottai,
","Tamil,, ,Sanskrit,
"," ,India,
"
"Sivaganga Kingdom,
","1725
","1733
","Sivaganga,
","Tamil,
"," ,India,
"
"Kingdom of Nepal,
","1768
","2008
","Kathmandu,
","Nepali,, ,Sanskrit,
","   ,Nepal, ,India, ,China, ,Bangladesh,
"
"Dogra Dynasty,
","1846
","1952
","Jammu,
","Dogri,
"," ,India, ,Pakistan, ,China,
"
